single_P_req_MW,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
25.5,True,Optimal,5203.5120422499995,4623.5120422499995,580.0,5203.5120422499995,4,DG1+DG2+DG3+DG4,6.950000000000001,1,7.5600000000000005,1,7.5600000000000005,1,5.88,1,4.499999999999997
25.75,True,Optimal,5246.022536625,4666.022536625,580.0,5246.022536625,4,DG1+DG2+DG3+DG4,6.700000000000001,1,7.5600000000000005,1,7.5600000000000005,1,5.88,1,4.749999999999997
26.0,True,Optimal,5288.533030999999,4708.533030999999,580.0,5288.533030999999,4,DG1+DG2+DG3+DG4,6.450000000000001,1,7.5600000000000005,1,7.5600000000000005,1,5.88,1,4.999999999999997
26.25,True,Optimal,5331.043525374999,4751.043525374999,580.0,5331.043525374999,4,DG1+DG2+DG3+DG4,6.200000000000001,1,7.5600000000000005,1,7.5600000000000005,1,5.88,1,5.249999999999997
26.5,True,Optimal,5373.5540197499995,4793.5540197499995,580.0,5373.5540197499995,4,DG1+DG2+DG3+DG4,5.950000000000001,1,7.5600000000000005,1,7.5600000000000005,1,5.88,1,5.499999999999997
26.75,True,Optimal,5416.064514124999,4836.064514124999,580.0,5416.064514124999,4,DG1+DG2+DG3+DG4,5.700000000000001,1,7.5600000000000005,1,7.5600000000000005,1,5.88,1,5.749999999999997
27.0,True,Optimal,5459.4794581,4879.4794581,580.0,5459.4794581,4,DG1+DG2+DG3+DG4,5.45,1,7.5600000000000005,1,7.679999999999999,1,5.88,1,5.88
27.25,True,Optimal,5503.874222475,4923.874222475,580.0,5503.874222475,4,DG1+DG2+DG3+DG4,5.2,1,7.5600000000000005,1,7.929999999999999,1,5.88,1,5.88
27.5,True,Optimal,5548.26898685,4968.26898685,580.0,5548.26898685,4,DG1+DG2+DG3+DG4,4.949999999999999,1,7.5600000000000005,1,8.18,1,5.88,1,5.88
27.75,True,Optimal,5592.663751225,5012.663751225,580.0,5592.663751225,4,DG1+DG2+DG3+DG4,4.699999999999999,1,7.5600000000000005,1,8.43,1,5.88,1,5.88
28.0,True,Optimal,5637.058515600001,5057.058515600001,580.0,5637.058515600001,4,DG1+DG2+DG3+DG4,4.449999999999999,1,7.5600000000000005,1,8.68,1,5.88,1,5.88
